Exporter Country ID,Exporter Country,Year,Trade Value,HS6,Cube
euswe,Sweden,2019,16383755.0,16850610,trade_i_baci_a_96
euukr,Ukraine,2019,223746.0,16850610,trade_i_baci_a_96
nabhs,Bahamas,2019,76017.0,16850610,trade_i_baci_a_96
nabrb,Barbados,2019,147.0,16850610,trade_i_baci_a_96
nacan,Canada,2019,893750.0,16850610,trade_i_baci_a_96
nacri,Costa Rica,2019,10773652.0,16850610,trade_i_baci_a_96
nacuw,Curaçao,2019,5715.0,16850610,trade_i_baci_a_96
nadom,Dominican Republic,2019,1667640.0,16850610,trade_i_baci_a_96
nagtm,Guatemala,2019,12721560.0,16850610,trade_i_baci_a_96
nahnd,Honduras,2019,5867.0,16850610,trade_i_baci_a_96
namaf,Saint Martin,2019,260.0,16850610,trade_i_baci_a_96
namex,Mexico,2019,711727.0,16850610,trade_i_baci_a_96
nanic,Nicaragua,2019,32.0,16850610,trade_i_baci_a_96
napan,Panama,2019,17537299.0,16850610,trade_i_baci_a_96
naslv,El Salvador,2019,40293.0,16850610,trade_i_baci_a_96
natto,Trinidad and Tobago,2019,60872.0,16850610,trade_i_baci_a_96
nausa,United States,2019,236892378.0,16850610,trade_i_baci_a_96
ocaus,Australia,2019,666863.0,16850610,trade_i_baci_a_96
ocfji,Fiji,2019,5627.0,16850610,trade_i_baci_a_96
ocncl,New Caledonia,2019,34.0,16850610,trade_i_baci_a_96
ocniu,Niue,2019,1863.0000000000002,16850610,trade_i_baci_a_96
ocnru,Nauru,2019,1234.0,16850610,trade_i_baci_a_96
ocnzl,New Zealand,2019,297209.0,16850610,trade_i_baci_a_96
ocpng,Papua New Guinea,2019,1489.0,16850610,trade_i_baci_a_96
octkl,Tokelau,2019,1776.0,16850610,trade_i_baci_a_96
saarg,Argentina,2019,39270.0,16850610,trade_i_baci_a_96
sabra,Brazil,2019,6944992.0,16850610,trade_i_baci_a_96
sachl,Chile,2019,4469996.0,16850610,trade_i_baci_a_96
sacol,Colombia,2019,58683.0,16850610,trade_i_baci_a_96
saecu,Ecuador,2019,7993.999999999999,16850610,trade_i_baci_a_96
saper,Peru,2019,4947036.0,16850610,trade_i_baci_a_96
saury,Uruguay,2019,2316.0,16850610,trade_i_baci_a_96
saven,Venezuela,2019,111.99999999999999,16850610,trade_i_baci_a_96
afago,Angola,2020,7137.0,16850610,trade_i_baci_a_96
afben,Benin,2020,3876.0000000000005,16850610,trade_i_baci_a_96
afbfa,Burkina Faso,2020,17361.0,16850610,trade_i_baci_a_96
afbwa,Botswana,2020,3445.0,16850610,trade_i_baci_a_96
afciv,Cote d'Ivoire,2020,182.00000000000003,16850610,trade_i_baci_a_96
afcog,Republic of the Congo,2020,17554.0,16850610,trade_i_baci_a_96
afegy,Egypt,2020,4831072.0,16850610,trade_i_baci_a_96
afeth,Ethiopia,2020,9.000000000000002,16850610,trade_i_baci_a_96
afgab,Gabon,2020,366.0,16850610,trade_i_baci_a_96
afgha,Ghana,2020,224822.99999999997,16850610,trade_i_baci_a_96
afgnq,Equatorial Guinea,2020,309.0,16850610,trade_i_baci_a_96
afken,Kenya,2020,4101.0,16850610,trade_i_baci_a_96
aflso,Lesotho,2020,30.0,16850610,trade_i_baci_a_96
afmar,Morocco,2020,42614.0,16850610,trade_i_baci_a_96
afmli,Mali,2020,952.0,16850610,trade_i_baci_a_96
afmus,Mauritius,2020,2506.0,16850610,trade_i_baci_a_96
afnam,Namibia,2020,12438.0,16850610,trade_i_baci_a_96
afner,Niger,2020,174712.0,16850610,trade_i_baci_a_96
afnga,Nigeria,2020,14298.0,16850610,trade_i_baci_a_96
afrwa,Rwanda,2020,1763953.0,16850610,trade_i_baci_a_96
afsen,Senegal,2020,19417.0,16850610,trade_i_baci_a_96
afsle,Sierra Leone,2020,357.00000000000006,16850610,trade_i_baci_a_96
afstp,Sao Tome and Principe,2020,6.0,16850610,trade_i_baci_a_96
afswz,Eswatini,2020,588.0,16850610,trade_i_baci_a_96
aftgo,Togo,2020,649405.0,16850610,trade_i_baci_a_96
aftun,Tunisia,2020,53360.0,16850610,trade_i_baci_a_96
aftza,Tanzania,2020,822.9999999999999,16850610,trade_i_baci_a_96
afuga,Uganda,2020,31284.0,16850610,trade_i_baci_a_96
afzaf,South Africa,2020,2312387.0,16850610,trade_i_baci_a_96
afzmb,Zambia,2020,116135.00000000001,16850610,trade_i_baci_a_96
afzwe,Zimbabwe,2020,49.0,16850610,trade_i_baci_a_96
asafg,Afghanistan,2020,7627.999999999999,16850610,trade_i_baci_a_96
asare,United Arab Emirates,2020,13693415.0,16850610,trade_i_baci_a_96
asarm,Armenia,2020,26729.0,16850610,trade_i_baci_a_96
asaze,Azerbaijan,2020,3.0,16850610,trade_i_baci_a_96
asbgd,Bangladesh,2020,321.0,16850610,trade_i_baci_a_96
asbhr,Bahrain,2020,124296.0,16850610,trade_i_baci_a_96
asbrn,Brunei,2020,41655.0,16850610,trade_i_baci_a_96
aschn,China,2020,1752466978.0,16850610,trade_i_baci_a_96
ascyp,Cyprus,2020,882917.0,16850610,trade_i_baci_a_96
asgeo,Georgia,2020,32039.0,16850610,trade_i_baci_a_96
ashkg,Hong Kong,2020,35604944.0,16850610,trade_i_baci_a_96
asidn,Indonesia,2020,152980821.0,16850610,trade_i_baci_a_96
asind,India,2020,5413781.0,16850610,trade_i_baci_a_96
asirn,Iran,2020,2603.0,16850610,trade_i_baci_a_96
asirq,Iraq,2020,302741.0,16850610,trade_i_baci_a_96
asisr,Israel,2020,989491.0,16850610,trade_i_baci_a_96
asjor,Jordan,2020,19780.0,16850610,trade_i_baci_a_96
asjpn,Japan,2020,30025157.0,16850610,trade_i_baci_a_96
askaz,Kazakhstan,2020,41530.0,16850610,trade_i_baci_a_96
askgz,Kyrgyzstan,2020,3458.9999999999995,16850610,trade_i_baci_a_96
askhm,Cambodia,2020,2222.0,16850610,trade_i_baci_a_96
askor,South Korea,2020,9555803.0,16850610,trade_i_baci_a_96
askwt,Kuwait,2020,269793.0,16850610,trade_i_baci_a_96
aslao,Laos,2020,131.0,16850610,trade_i_baci_a_96
aslbn,Lebanon,2020,81290.99999999999,16850610,trade_i_baci_a_96
aslka,Sri Lanka,2020,32192.0,16850610,trade_i_baci_a_96
asmac,Macau,2020,27581.999999999996,16850610,trade_i_baci_a_96
asmmr,Myanmar,2020,2643.9999999999995,16850610,trade_i_baci_a_96
asmys,Malaysia,2020,119544026.0,16850610,trade_i_baci_a_96
asomn,Oman,2020,933659.0,16850610,trade_i_baci_a_96
aspak,Pakistan,2020,1455.0,16850610,trade_i_baci_a_96
asphl,Philippines,2020,194898.0,16850610,trade_i_baci_a_96
asqat,Qatar,2020,99147.99999999999,16850610,trade_i_baci_a_96
assau,Saudi Arabia,2020,9467982.0,16850610,trade_i_baci_a_96
assgp,Singapore,2020,297227447.0,16850610,trade_i_baci_a_96
astha,Thailand,2020,84215791.0,16850610,trade_i_baci_a_96
astls,Timor-Leste,2020,25.0,16850610,trade_i_baci_a_96
astur,Turkey,2020,2189159.0,16850610,trade_i_baci_a_96
astwn,Chinese Taipei,2020,3670269.0,16850610,trade_i_baci_a_96
asuzb,Uzbekistan,2020,200741.0,16850610,trade_i_baci_a_96
asvnm,Vietnam,2020,40447930.0,16850610,trade_i_baci_a_96
eualb,Albania,2020,36.00000000000001,16850610,trade_i_baci_a_96
euand,Andorra,2020,25.0,16850610,trade_i_baci_a_96
euaut,Austria,2020,2390954.0,16850610,trade_i_baci_a_96
eubel,Belgium,2020,448721214.0,16850610,trade_i_baci_a_96
eubgr,Bulgaria,2020,1957810.0,16850610,trade_i_baci_a_96
eubih,Bosnia and Herzegovina,2020,20113.0,16850610,trade_i_baci_a_96
eublr,Belarus,2020,440399.0,16850610,trade_i_baci_a_96
euche,Switzerland,2020,5419106.0,16850610,trade_i_baci_a_96
eucze,Czechia,2020,12712957.0,16850610,trade_i_baci_a_96
eudeu,Germany,2020,251745524.0,16850610,trade_i_baci_a_96
eudnk,Denmark,2020,2499939.0,16850610,trade_i_baci_a_96
euesp,Spain,2020,25300025.0,16850610,trade_i_baci_a_96
euest,Estonia,2020,2204964.0,16850610,trade_i_baci_a_96
eufin,Finland,2020,1130597.0,16850610,trade_i_baci_a_96
eufra,France,2020,14472134.0,16850610,trade_i_baci_a_96
eugbr,United Kingdom,2020,57068456.0,16850610,trade_i_baci_a_96
eugrc,Greece,2020,7317984.0,16850610,trade_i_baci_a_96
euhrv,Croatia,2020,3596444.0,16850610,trade_i_baci_a_96
euhun,Hungary,2020,5201391.0,16850610,trade_i_baci_a_96
euirl,Ireland,2020,667323.0,16850610,trade_i_baci_a_96
euita,Italy,2020,15199916.0,16850610,trade_i_baci_a_96
eultu,Lithuania,2020,4702363.0,16850610,trade_i_baci_a_96
eulux,Luxembourg,2020,332529.0,16850610,trade_i_baci_a_96
eulva,Latvia,2020,3731271.0,16850610,trade_i_baci_a_96
